span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
332,clarity::user::read-only,get-fee-address,5.4,0.01,19,19,0.2,19,0.2
491,clarity::user::read-only,find-D-guess,0.24,0.01,26,25,0.3,25,0.2
505,clarity::user::read-only,get-stx-per-ststx-helper,11.64,0.01,21,17,0.2,17,0.1
556,clarity::user::read-only,reward-cycle-to-burn-height,7.11,0.01,15,9,0.1,9,0.1
561,clarity::user::private,velar-swap-a,14.44,0.01,1,1,0.0,1,0.0
596,clarity::user::private,swap-sa,39.63,0.01,1,1,0.0,1,0.0
646,clarity::user::read-only,is-isolated-type,35.2,0.01,22,17,0.2,17,0.1
737,clarity::user::read-only,get-reward-cycle,10.02,0.01,9,1,0.0,1,0.0
763,clarity::user::private,transfer-tradable-from-escrow,5.92,0.01,2,2,0.0,2,0.0
770,clarity::user::private,unsubscribe,18.61,0.01,2,1,0.0,1,0.0
783,clarity::user::private,swap-ststx-ststxbtc,32.75,0.01,1,1,0.0,1,0.0
786,clarity::user::private,pow-up,3.58,0.01,3,1,0.0,1,0.0
863,clarity::user::private,hu087b44,31.09,0.01,1,1,0.0,1,0.0
864,clarity::user::private,hme44882,8.14,0.01,1,1,0.0,1,0.0
865,clarity::user::private,ojb57736,18.02,0.01,1,1,0.0,1,0.0
866,clarity::user::private,jxebd998,15.15,0.01,1,1,0.0,1,0.0
869,clarity::user::private,de604262,26.29,0.01,1,1,0.0,1,0.0
875,clarity::user::private,mint-runes-fold,8.88,0.01,1,1,0.0,1,0.0
882,clarity::user::private,ir814f44,34.16,0.01,1,1,0.0,1,0.0
892,clarity::user::private,wvfab3d7,122.81,0.01,1,1,0.0,1,0.0
893,clarity::user::private,btaad81b,27.33,0.01,1,1,0.0,1,0.0
894,clarity::user::private,gt80dc3a,40.8,0.01,1,1,0.0,1,0.0
895,clarity::user::private,ow041c6c,27.91,0.01,1,1,0.0,1,0.0
924,clarity::user::private,swap-sbtc-to-stx,18.74,0.01,3,3,0.0,3,0.0
926,clarity::user::private,nw2624a8,36.32,0.01,1,1,0.0,1,0.0
927,clarity::user::private,qcec150d,25.72,0.01,1,1,0.0,1,0.0
931,clarity::user::private,le3b5e2c,232.21,0.01,1,1,0.0,1,0.0
933,clarity::user::private,pg8192de,95.38,0.01,1,1,0.0,1,0.0
942,clarity::user::private,sx2342bb,24.48,0.01,1,1,0.0,1,0.0
946,clarity::user::private,pj9bbc9e,33.13,0.01,1,1,0.0,1,0.0
