span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
380,clarity::user::read-only,get-pool-exists,750.6,0.94,2965,111,0.7,137,0.4
289,clarity::user::private,is-xyk-path-reversed,4208.64,0.93,256,206,1.4,212,0.7
424,clarity::user::private,stableswap-sa,21478.4,0.93,201,160,1.1,167,0.5
117,clarity::builtin,some,0.88,0.88,5443,3016,20.1,4923,15.9
381,clarity::user::private,mul-up,7.3,0.87,415,109,0.7,135,0.4
364,clarity::user::private,read-int-32,3.87,0.86,151,54,0.4,54,0.2
499,clarity::user::read-only,find-x-step,79.11,0.84,2900,20,0.1,21,0.1
492,clarity::user::read-only,find-D-step,70.78,0.81,2900,20,0.1,21,0.1
383,clarity::user::private,get-x-given-y-internal,191.22,0.81,289,80,0.5,91,0.3
1187,clarity::user::private,route-single,136.32,0.8,320,16,0.1,16,0.1
570,clarity::builtin,get-burn-block-info?,2.0,0.8,14,13,0.1,13,0.0
143,clarity::user::private,min,2.58,0.78,311,277,1.8,284,0.9
354,clarity::user::private,read-buff-4,2.22,0.77,127,55,0.4,55,0.2
425,clarity::user::private,is-stableswap-path-reversed,5242.76,0.77,210,169,1.1,176,0.6
336,clarity::user::private,expect-contract-call-performed-by-expected-oracle-contract,1.53,0.76,125,55,0.4,55,0.2
512,clarity::vm::analysis::analysis_db::AnalysisDatabase,get_read_only_function_type,70.41,0.76,180,11,0.1,13,0.0
264,clarity::builtin,is-ok,0.76,0.76,1499,260,1.7,299,1.0
486,clarity::user::private,safe-transfer,1091.06,0.71,139,76,0.5,80,0.3
1017,clarity::builtin,bit-or,0.68,0.68,1509,128,0.9,130,0.4
1049,clarity::user::private,calc-liquidity-rate,6.26,0.68,223,100,0.7,102,0.3
366,clarity::user::private,check-merkle-proof,100.93,0.67,151,54,0.4,54,0.2
379,clarity::user::read-only,get-pool-details,1154.75,0.67,2079,111,0.7,137,0.4
283,clarity::user::read-only,get-pool,233.38,0.65,1937,181,1.2,224,0.7
1416,clarity::user::private,fold-from-all-cycles-to-cycles-unclaimed,1900.57,0.65,300,1,0.0,1,0.0
1005,clarity::user::private,uint-to-buff1,9.43,0.64,376,79,0.5,81,0.3
487,clarity::user::private,calculate-midpoint-offset,2.95,0.63,228,180,1.2,191,0.6
683,clarity::user::private,get-user-basic-reserve-data,734.67,0.63,126,14,0.1,14,0.0
417,clarity::builtin,index-of,4.82,0.62,653,85,0.6,85,0.3
